date,gz_spread,ebp,est_prob
1/1/1982,1.441111234,0.719849715,0.530939627
2/1/1982,1.437848863,0.505760072,0.432457701
3/1/1982,1.613282761,0.921249861,0.621985577
4/1/1982,1.634412413,0.830823823,0.581626191
5/1/1982,1.507484235,0.749165652,0.544412883
6/1/1982,1.540809374,0.72425478,0.532966788
7/1/1982,1.624498326,0.684069734,0.514448972
8/1/1982,1.73374586,0.059696352,0.246255034
9/1/1982,1.639230342,0.498815396,0.429299801
10/1/1982,1.776528855,0.246255375,0.319024288
11/1/1982,1.569092043,0.501742161,0.430630127
12/1/1982,1.579299295,0.634568454,0.491599454
1/1/1983,1.254184603,0.252451501,0.321589517
2/1/1983,1.321093575,0.198746204,0.299649676
3/1/1983,0.996053257,0.109182257,0.264656498
4/1/1983,0.940777902,0.028039405,0.23485327
5/1/1983,0.855305695,-0.17830576,0.168088372
6/1/1983,0.845101416,-0.016252555,0.219402444
7/1/1983,0.86520562,-0.151224611,0.176080039
8/1/1983,0.798981799,-0.21971532,0.156327282
9/1/1983,0.88858169,-0.11871302,0.185986431
10/1/1983,0.832326379,-0.131103264,0.182171026
11/1/1983,0.906958261,-0.010771789,0.2212821
12/1/1983,0.923701429,0.042713472,0.240101769
1/1/1984,0.881048596,-0.038260703,0.211947657
2/1/1984,0.866799592,-0.113798514,0.18751341
3/1/1984,0.925959525,-0.020141824,0.218074184
4/1/1984,0.938009523,0.047862095,0.241958325
5/1/1984,0.743387739,-0.353966132,0.122003899
6/1/1984,0.749200362,-0.10105529,0.191508787
7/1/1984,0.909182927,-0.1769204,0.168491439
8/1/1984,0.898435008,0.122094304,0.269570401
9/1/1984,0.896757567,-0.077879574,0.198907494
10/1/1984,0.921637082,-0.268280677,0.143241375
11/1/1984,0.932791054,-0.156566912,0.174484769
12/1/1984,0.939701242,-0.038326918,0.211925454
1/1/1985,1.056266516,-0.163582094,0.172403947
2/1/1985,0.944599593,-0.192409068,0.164020396
3/1/1985,0.988148758,0.044842943,0.240868698
4/1/1985,1.065537714,-0.100348358,0.191731948
5/1/1985,1.217941912,-0.305853005,0.133639751
6/1/1985,1.198611605,0.022299573,0.232817678
7/1/1985,1.165404802,-0.020149383,0.218071607
8/1/1985,1.171551257,-0.00105755,0.224636173
9/1/1985,1.174094474,0.093276675,0.258666615
10/1/1985,1.262344175,0.147112552,0.279219823
11/1/1985,1.350981996,0.190441803,0.296318529
12/1/1985,1.430369333,-0.044081224,0.210001139
1/1/1986,1.397155818,0.207028732,0.302988845
2/1/1986,1.627508573,-0.18135838,0.16720241
3/1/1986,2.079595048,0.592486825,0.472193524
4/1/1986,1.991398201,0.532361335,0.444592129
5/1/1986,1.65674729,0.031770457,0.236181719
6/1/1986,1.968403086,0.099395293,0.260962491
7/1/1986,2.160364176,0.729854426,0.535542441
8/1/1986,2.318846396,0.685798734,0.515246648
9/1/1986,1.981799305,0.331745275,0.355133745
10/1/1986,1.992012874,0.508163275,0.433551509
11/1/1986,2.119359535,0.623814066,0.486636346
12/1/1986,2.024097197,0.647796903,0.497706036
1/1/1987,1.894539108,0.508105932,0.433525403
2/1/1987,1.997149113,0.57708076,0.465103063
3/1/1987,1.926584735,0.467989139,0.415339662
4/1/1987,1.801865243,-0.246128308,0.149115668
5/1/1987,1.772541084,0.200065702,0.300180525
6/1/1987,1.728084051,0.187864238,0.295288054
7/1/1987,1.687354373,0.26631584,0.327360188
8/1/1987,1.611842059,0.267140325,0.32770468
9/1/1987,1.589034375,0.25851363,0.324107532
10/1/1987,1.716768708,-0.639067423,0.067462768
11/1/1987,1.707415901,0.266414288,0.327401315
12/1/1987,1.659100863,0.004277439,0.226490404
1/1/1988,1.749750513,-0.133792812,0.181349325
2/1/1988,1.701199367,0.21671477,0.306914829
3/1/1988,1.60077126,-0.051823277,0.207428363
4/1/1988,1.491402171,0.015845006,0.230540369
5/1/1988,1.496702918,0.090652094,0.257685013
6/1/1988,1.559536675,0.188488153,0.295537335
7/1/1988,1.461997008,-0.091153396,0.194649049
8/1/1988,1.442054342,0.075848628,0.252184901
9/1/1988,1.538010925,0.266257054,0.327335632
10/1/1988,1.682125298,0.384430587,0.37807994
11/1/1988,1.611578498,0.289571167,0.337132309
12/1/1988,1.619354838,0.4239876,0.395600793
1/1/1989,1.684419587,0.420905886,0.394227705
2/1/1989,1.574801402,0.311777794,0.346567588
3/1/1989,1.647104544,0.538802736,0.447538711
4/1/1989,1.711446791,0.640022022,0.4941168
5/1/1989,1.772855628,0.45960313,0.411559576
6/1/1989,1.978785975,0.729310312,0.53529223
7/1/1989,2.11189294,0.957046133,0.637627584
8/1/1989,1.919288771,0.67301487,0.509347568
9/1/1989,1.739282272,0.706428646,0.524758676
10/1/1989,1.651651604,0.566277199,0.460137316
11/1/1989,1.637435834,0.679383003,0.512286462
12/1/1989,1.539776332,0.561998825,0.458172479
1/1/1990,1.42883198,0.295181451,0.339506672
2/1/1990,1.428688108,0.436560198,0.401215905
3/1/1990,1.426880097,0.46484131,0.413919805
4/1/1990,1.35213149,0.215995763,0.306622628
5/1/1990,1.202556747,0.108833181,0.264524286
6/1/1990,1.224435203,0.158999606,0.283862709
7/1/1990,1.163444442,0.081486541,0.254272298
8/1/1990,1.106111034,-0.209515046,0.159172783
9/1/1990,1.126453468,0.009768317,0.228407809
10/1/1990,1.409689315,0.208960665,0.303770109
11/1/1990,1.559372074,0.317381798,0.348964054
12/1/1990,1.55407931,0.403064552,0.386304639
1/1/1991,1.575306371,0.435799475,0.400875561
2/1/1991,1.409326323,0.354006747,0.364770916
3/1/1991,1.371252715,0.289968756,0.337300363
4/1/1991,1.357580983,0.244100115,0.318134018
5/1/1991,1.306838869,0.224675641,0.310158249
6/1/1991,1.284667826,0.130791737,0.272905936
7/1/1991,1.387224232,0.238697867,0.315907142
8/1/1991,1.289180065,0.164227802,0.285916392
9/1/1991,1.391658969,0.197798033,0.299268479
10/1/1991,1.360240169,0.183640132,0.293602889
11/1/1991,1.352706371,0.197368051,0.299095685
12/1/1991,1.526218119,0.217478657,0.307225402
1/1/1992,1.326281484,0.085930328,0.255923939
2/1/1992,1.280781703,0.124875978,0.27063497
3/1/1992,1.205613627,0.068195471,0.249365901
4/1/1992,1.211737549,0.062668598,0.247340571
5/1/1992,1.218876846,0.025691894,0.234019555
6/1/1992,1.195924951,0.005005112,0.226743983
7/1/1992,1.253600891,-0.065147059,0.203044593
8/1/1992,1.40489518,0.082706396,0.254725129
9/1/1992,1.52447708,0.182007982,0.292952954
10/1/1992,1.403574386,0.098716061,0.260707109
11/1/1992,1.28535002,0.074286174,0.251608017
12/1/1992,1.35072233,0.108317327,0.264328969
1/1/1993,1.375052175,0.065952602,0.248542938
2/1/1993,1.41258773,0.053008153,0.243821711
3/1/1993,1.362765837,0.022405573,0.232855182
4/1/1993,1.412687556,0.047476654,0.241819069
5/1/1993,1.328786537,0.019891447,0.231966582
6/1/1993,1.316531756,-0.059662193,0.204842477
7/1/1993,1.289828974,-0.063790762,0.203488294
8/1/1993,1.372583048,-0.068673384,0.201893692
9/1/1993,1.410653456,0.022068211,0.232735834
10/1/1993,1.35344396,-0.050080136,0.208005998
11/1/1993,1.277076241,-0.13695805,0.180385271
12/1/1993,1.249174294,-0.172779713,0.169699865
1/1/1994,1.207763209,-0.251492748,0.147678589
2/1/1994,1.118409058,-0.437328859,0.103564721
3/1/1994,1.205107774,-0.314055107,0.131603961
4/1/1994,1.216762213,-0.266733646,0.143646463
5/1/1994,1.24459899,-0.269658748,0.142881179
6/1/1994,1.204977046,-0.316852567,0.130914542
7/1/1994,1.1962482,-0.301778516,0.134659063
8/1/1994,1.172881297,-0.272581571,0.142119248
9/1/1994,1.160515313,-0.392496966,0.113212952
10/1/1994,1.179566283,-0.314323459,0.131537718
11/1/1994,1.232886707,-0.256262005,0.146408768
12/1/1994,1.263289726,-0.199044029,0.162128879
1/1/1995,1.251217093,-0.249273374,0.148272008
2/1/1995,1.224004687,-0.284264784,0.139101131
3/1/1995,1.222862921,-0.291913247,0.137149104
4/1/1995,1.194999387,-0.237923017,0.151331794
5/1/1995,1.29547358,-0.331391636,0.127371681
6/1/1995,1.321234554,-0.144853126,0.177994667
7/1/1995,1.237491734,-0.318183283,0.130587472
8/1/1995,1.257428023,-0.20791974,0.159620863
9/1/1995,1.251543311,-0.166564875,0.17152402
10/1/1995,1.329177825,-0.130345981,0.182402808
11/1/1995,1.386006053,-0.045694523,0.20946348
12/1/1995,1.398760845,-0.058855666,0.205107644
1/1/1996,1.379851865,-0.108335057,0.189220017
2/1/1996,1.292356035,-0.315345476,0.131285646
3/1/1996,1.249478503,-0.336566211,0.126126987
4/1/1996,1.251532657,-0.287014867,0.138397093
5/1/1996,1.195814423,-0.318354477,0.130545436
6/1/1996,1.260918626,-0.271641779,0.142363936
7/1/1996,1.272053543,-0.325675388,0.128756571
8/1/1996,1.243263157,-0.395636838,0.112517022
9/1/1996,1.22712454,-0.390182712,0.113727851
10/1/1996,1.266491936,-0.336648651,0.126107226
11/1/1996,1.318178015,-0.28636001,0.13856452
12/1/1996,1.238818353,-0.403010581,0.110894714
1/1/1997,1.274542725,-0.343587154,0.124451762
2/1/1997,1.207028788,-0.46390833,0.098134103
3/1/1997,1.21226633,-0.489971442,0.093014488
4/1/1997,1.215157304,-0.447541358,0.101452896
5/1/1997,1.172608729,-0.444211483,0.102138001
6/1/1997,1.146400259,-0.548390602,0.082260963
7/1/1997,1.204884134,-0.521905669,0.087014125
8/1/1997,1.141180975,-0.514588587,0.088362782
9/1/1997,1.152590731,-0.568151775,0.07884385
10/1/1997,1.284479981,-0.447586145,0.101443704
11/1/1997,1.308146146,-0.338640184,0.125630501
12/1/1997,1.30184744,-0.407483706,0.109918778
1/1/1998,1.348877129,-0.36881847,0.118560135
2/1/1998,1.317789963,-0.340667094,0.125146601
3/1/1998,1.299301286,-0.390891383,0.113570002
4/1/1998,1.210001159,-0.419573446,0.107311947
5/1/1998,1.211305622,-0.380785375,0.115835816
6/1/1998,1.31270144,-0.345181538,0.124073514
7/1/1998,1.362947936,-0.306427197,0.133496534
8/1/1998,1.999872684,0.086590613,0.256169827
9/1/1998,2.118701826,0.069435596,0.249821555
10/1/1998,2.258559327,0.193811705,0.297668252
11/1/1998,1.996970013,0.183557741,0.293570064
12/1/1998,1.954090736,0.044107099,0.240603533
1/1/1999,1.912293691,0.041267015,0.239581587
2/1/1999,1.782909272,-0.181418057,0.16718512
3/1/1999,1.673715838,-0.167846174,0.171146916
4/1/1999,1.621496502,-0.209841868,0.159081088
5/1/1999,1.655853296,-0.204606974,0.160553968
6/1/1999,1.696064927,-0.144145113,0.178208232
7/1/1999,1.754149713,-0.093701344,0.193838021
8/1/1999,1.966645604,-0.040196303,0.211299179
9/1/1999,2.027602144,0.092512996,0.258380797
10/1/1999,2.093715408,0.105282709,0.263181465
11/1/1999,2.045244674,0.070897974,0.250359437
12/1/1999,1.863351481,-0.158717379,0.173845215
1/1/2000,1.950320832,0.025829126,0.234068247
2/1/2000,2.122469498,0.115125241,0.266912533
3/1/2000,2.474686798,0.380076429,0.376165877
4/1/2000,2.636578232,0.538251388,0.447286384
5/1/2000,2.805140361,0.71845797,0.530298992
6/1/2000,2.8157409,0.758057523,0.548490123
7/1/2000,2.940392654,0.83934542,0.585473751
8/1/2000,3.064164063,0.989009373,0.651403956
9/1/2000,3.221429687,1.100507106,0.697820738
10/1/2000,3.665730533,1.495353665,0.835238251
11/1/2000,3.767945303,1.576475212,0.857454124
12/1/2000,3.78662768,1.571736009,0.8562148
1/1/2001,3.398794303,1.118909017,0.705207785
2/1/2001,3.320259046,1.145988938,0.715924333
