date,TFP,Real GDP per capita,Real Investment per capita,Real consumption per capita,Hours per capita,SP500,Inflation (Implicit GDP deflator),ebp,gz_spr,defaultrisk,RMV Banks,LOOS: Reporting tighter standards,BAA SPREAD
1986-01-01,0.1800893200106749,9.025732152600243,7.338784822903281,8.408625491748538,4.46066395876178,6.005622811191623,0.0198734746692395,0.0020605239233333333,0.01701419813,0.003141282596666667,16.134213624107254,NA,0.0246
1986-04-01,0.21352451196477212,9.033131899140077,7.342141207802418,8.412732918133283,4.455202047751333,6.094409891386268,0.01509285873668631,0.00221175695,0.01872182859,0.00313912113,15.814739377751012,NA,0.026699999999999998
1986-07-01,0.2172951351879732,9.039695506950796,7.338583287857546,8.41679624382087,4.457386582185599,6.089706396155733,0.016400245960149107,0.005824661449999999,0.02153669959,0.004686409446666667,15.751876486195814,NA,0.0287
1986-10-01,0.20741135330731764,9.037819683793646,7.346307451823596,8.420263454079121,4.461973028057539,6.087496274473266,0.02169152243276784,0.005932580813333334,0.020451565353333336,0.00472631297,15.991097484891496,NA,0.028300000000000002
1987-01-01,0.16307561369102894,9.037111674165264,7.339283253559329,8.426810915618896,4.470848847598236,6.2093773931678475,0.025336359707242906,0.005177252770000001,0.019394243186666667,0.00437989376,16.21239820433787,NA,0.024700000000000003
1987-04-01,0.20533470486606242,9.044379281977989,7.334544608692462,8.435450070066857,4.473672108348296,6.247807894763556,0.027643607879259235,4.7267210666666665e-4,0.017674967926666667,0.0024819474899999997,15.965630845693383,NA,0.020099999999999996
1987-07-01,0.2184596803068888,9.050876511295565,7.345628941754142,8.441926738484304,4.477943861746217,6.323487281938367,0.030112008842628768,0.0026398993166666667,0.01629410269,0.003263908,15.991504920287076,NA,0.0203
1987-10-01,0.22449981490973972,9.06328766273315,7.357188145399556,8.44586208405783,4.48575452768752,6.087327891635439,0.0317605708333879,-0.0012279189866666667,0.016944284906666666,0.0020711816233333334,15.557502675678615,NA,0.0226
1988-01-01,0.2803086685383912,9.058517765484687,7.390246549536263,8.450270519188072,4.483957239945599,6.080103907940141,0.031235042276851033,1.036622699999999e-4,0.016839070466666665,0.0023189750566666666,15.703310833153122,NA,0.023399999999999997
1988-04-01,0.2915829120865443,9.071205865787205,7.371432793146459,8.460667931962595,4.4956273785315455,6.089370827795778,0.038772074154007186,9.832841766666666e-4,0.015158805879999999,0.00261254239,15.785662175124935,NA,0.0207
1988-07-01,0.30730040757516364,9.069465152190917,7.384737904105629,8.466781469613624,4.495867292032491,6.08424592710164,0.04750464549006139,8.3650762e-4,0.01480687425,0.0025805652733333333,15.69530238617772,NA,0.0197
1988-10-01,0.30761221662912713,9.082081479027451,7.3818399147529545,8.477028304978598,4.50480237805549,6.104668054733601,0.0344104011133588,0.0036599645133333337,0.016376862113333335,0.00370271014,15.901371482082164,NA,0.015600000000000001
1989-01-01,0.294214981165608,9.090121699975315,7.3976752206937375,8.483181218447394,4.511971453256186,6.147866226527026,0.04152688765678292,0.004238288053333333,0.016354418443333334,0.003961113346666666,15.803066608327521,NA,0.0144
1989-04-01,0.2737685274839439,9.093550867990997,7.4165249595589895,8.48711434907676,4.513652667183324,6.20796712634798,0.04234304872281314,0.006096451546666667,0.018210294646666667,0.004803228686666667,15.945162092212263,NA,0.0159
1989-07-01,0.29555534714081816,9.09513153932847,7.41212293825695,8.488093777298463,4.513658886350395,6.282339360479841,0.029128952089124027,0.00778829883,0.019234879943333335,0.005572446093333333,16.828183489618596,NA,0.0178
1989-10-01,0.2864670308923957,9.091026833241473,7.4114518512765155,8.493451315265187,4.511488699440067,6.279255502389353,0.028402639332124835,0.00602553009,0.016096212566666667,0.00476865419,16.657008002959337,NA,0.0191
1990-01-01,0.2950438857076821,9.09555633692822,7.388260572687021,8.495416195811991,4.50640957294671,6.235470188629625,0.04289911989696549,0.003988609863333333,0.014281333949999999,0.00384880794,16.60324069308225,NA,0.0167
1990-04-01,0.30088882906703257,9.092230857686287,7.406669772751908,8.49652628794427,4.499961892893745,6.256209112663574,0.04452594933612275,0.0016127618333333332,0.012597078133333335,0.0028500320766666667,16.612806230413995,0.544,0.0163
1990-07-01,0.30208373253907106,9.087382310681798,7.39348714243542,8.503000914302714,4.492530328688022,6.200665308296133,0.034166769723594115,-3.9420062666666673e-4,0.011320029813333334,0.002139509633333333,16.246090862442855,0.467,0.0171
1990-10-01,0.29738549785154234,9.078994235955445,7.374310949712524,8.506379894013874,4.4855256516133,6.137760969056998,0.029658380679865814,0.003098023383333333,0.015077135663333335,0.0034634626733333336,16.16100809903562,0.542,0.022000000000000002
1991-01-01,0.31321894614986356,9.072827344444558,7.324586775929469,8.499547570098752,4.473555893574717,6.23490691665744,0.038980100451439625,0.0035992499266666667,0.014519618029999999,0.0036764894666666665,16.515121169933,0.386,0.0219
1991-04-01,0.33868226809098584,9.070966517536304,7.290727017613195,8.497145745485913,4.465236526957078,6.287149627047464,0.02927768560477162,0.00199855831,0.013163625593333332,0.0030039940100000002,16.517414343449765,0.2,0.0179
1991-07-01,0.331251520716566,9.079314624896451,7.289994354713159,8.503404169198276,4.4616470452719215,6.300879427416054,0.031124304083942178,0.0020024123400000002,0.013560210886666667,0.003003640043333333,16.703165482834795,0.18600000000000003,0.0174
1991-10-01,0.3238341728595329,9.079886720644122,7.305351380447862,8.504174098918138,4.457185890967493,6.295917948378412,0.023666921865224566,0.001994956133333333,0.014130548863333335,0.002999746586666667,16.874032265609035,0.16699999999999998,0.020499999999999997
1992-01-01,0.42172825027272576,9.07208816666933,7.321190985227804,8.503677553540975,4.449061124582609,6.334840242740099,0.014840979884993999,9.300059233333332e-4,0.012708922713333333,0.002586416033333333,16.90191617359463,0.1,0.019
1992-04-01,0.4079099241978994,9.088536188355242,7.319795118126924,8.517248233363249,4.4506953422597455,6.3300423332629805,0.023977409923428894,3.1121868e-4,0.012088464486666665,0.00236034703,16.92627877170516,0.035,0.0175
1992-07-01,0.41354505023865323,9.090960459980625,7.356213394402828,8.521303859333862,4.449708647360732,6.334656602606645,0.019506141746493455,6.652243966666667e-4,0.013943243836666668,0.00250240892,17.311296432823166,-0.034,0.0209
1992-10-01,0.4061754073266172,9.095885459815985,7.3654685244783265,8.52746618256305,4.453062502800487,6.33782323768536,0.027432597877819376,9.377318733333333e-4,0.01346548912,0.00258881365,17.55121044180753,0.052000000000000005,0.0213
1993-01-01,0.33154709175771857,9.101502169942025,7.3895578620327145,8.535693084045928,4.4593522669082875,6.379383702383789,0.022385651739764256,4.712210933333334e-4,0.013834685806666667,0.0024173994366666666,17.896002164266726,0.034,0.0212
1993-04-01,0.3113699044460495,9.101186465348063,7.406084515746782,8.536395344154071,4.4682880621331025,6.374309817633228,0.02371744713910573,2.5686359999999992e-5,0.013526686163333334,0.0022620937599999997,17.91280373450075,-0.121,0.0215
1993-07-01,0.27292167940173667,9.099755413279984,7.417926114314402,8.539611485575495,4.471609743789544,6.380189453439977,0.023693449066829686,-3.6798645000000004e-4,0.013576884926666666,0.0021270594000000003,17.9785375691356,-0.25,0.020099999999999996
1993-10-01,0.30927741993694174,9.114706200035293,7.414323886298694,8.54782924101394,4.478256096005537,6.399496144064091,0.021769154022980075,-0.0011993929966666666,0.012932314983333333,0.00186030378,18.02967317674941,-0.2,0.0195
