Variable,Horizon,LowerCI,Resp,HigherCI
Output,6,0.160097540161593,0.369665533637696,0.537296503579232
Output,7,0.192855764036406,0.405621969613527,0.57713960384033
Output,8,0.229645675421333,0.43416343162349,0.605122383781529
Output,9,0.263705954704837,0.457926539653358,0.627640264665311
Output,10,0.295549145659178,0.478624004292241,0.638795291675702
Output,11,0.320414177446399,0.492511805890318,0.665923082161997
Output,12,0.34356716448936,0.498581742232783,0.678908489415986
Output,13,0.359582131574759,0.507095609844141,0.693170110774693
Output,14,0.359448496176331,0.507658822938614,0.701546380978993
Output,15,0.354452144275294,0.516717923206303,0.711644362396707
Output,16,0.347012529955968,0.520625976116247,0.722849501431399
Output,17,0.352000625585113,0.524492572907482,0.730777489326145
Output,18,0.352518839379308,0.522306303931516,0.738737343962323
Output,19,0.351126818330533,0.520105902598786,0.746614076724635
Output,20,0.340466058518637,0.520074406680914,0.762450541811463
Output,21,0.327052382117808,0.52371347197846,0.780039173706345
Output,22,0.311553544375571,0.521031256857212,0.771757293592689
Output,23,0.304380607415311,0.519290028946706,0.767004501268384
Output,24,0.298337137170481,0.509154045041463,0.764407506007955
Output,25,0.286098160654496,0.506341222602436,0.763239756111317
Output,26,0.278431999917648,0.492167146919302,0.755950027136741
Output,27,0.271153201285827,0.483589605734598,0.761500443069986
Output,28,0.263180501200787,0.472246308896861,0.765239721076442
Output,29,0.256611338773356,0.464142361170463,0.764368266787984
Output,30,0.249807637624022,0.457373808285585,0.761835339570141
Output,31,0.242784523787338,0.449141735627365,0.755983137259104
Output,32,0.235652691135514,0.436534547261676,0.748459229307093
Output,33,0.223876039585646,0.431663868125666,0.737239058591733
Output,34,0.217380822618898,0.42708072066514,0.732177825066308
Output,35,0.212482555505659,0.421552108491641,0.722875794336002
Output,36,0.200203513814147,0.412027324045445,0.716705121899989
Output,37,0.194116007985699,0.400531498427894,0.719146813910133
Output,38,0.185397374153019,0.383145424030534,0.719679255443583
Output,39,0.174079531367198,0.374791271749649,0.719870401235107
Output,40,0.166434158118314,0.368691667713961,0.724783645528382
Consumption,1,0.0207383044648608,0.118845694764054,0.199004318016776
Consumption,2,0.050798264327252,0.153882580973338,0.227363249256664
Consumption,3,0.0794697756789628,0.187387631526791,0.273626960714186
Consumption,4,0.105108639223502,0.235922341482196,0.33517575521326
Consumption,5,0.141116907967473,0.277198048714304,0.381944412493322
Consumption,6,0.174653960494467,0.306332631912832,0.415962171481473
Consumption,7,0.199646054623518,0.337837501795268,0.453119373549915
Consumption,8,0.225529223485084,0.367691768199162,0.481075304192111
Consumption,9,0.245943170687436,0.387696434120448,0.508850459454348
Consumption,10,0.266078268896948,0.404852993061289,0.530155468697323
Consumption,11,0.284405145930474,0.425724738089527,0.555378598584004
Consumption,12,0.297730719002587,0.436710836442397,0.57379744050425
Consumption,13,0.30745049126566,0.447542532249753,0.594993246306895
Consumption,14,0.314994389912411,0.456473517849515,0.615569421321166
Consumption,15,0.325036511522579,0.466894397316334,0.63176448531152
Consumption,16,0.331961521159842,0.471494185708352,0.650327300520375
Consumption,17,0.329261276084636,0.475633052772756,0.661813610421545
Consumption,18,0.332347803416253,0.481687493685556,0.674487092637278
Consumption,19,0.333718925618879,0.487967559587228,0.69014576917285
Consumption,20,0.336811656579957,0.488360188519732,0.707098904438576
Consumption,21,0.339139356273506,0.491290171994906,0.724380564703586
Consumption,22,0.340268809871879,0.497946547214347,0.736926082854548
Consumption,23,0.337117834862607,0.503313946293677,0.734781831561967
Consumption,24,0.337756462015269,0.501057474951379,0.74128548493736
Consumption,25,0.338828631034154,0.503601519524684,0.751664739658456
Consumption,26,0.336974356215859,0.502769486721469,0.760910709155571
Consumption,27,0.334214873703404,0.499747958616376,0.768292704600662
Consumption,28,0.33062805314123,0.495363341582264,0.775979279648274
Consumption,29,0.323698668766303,0.49453759224408,0.777761845791175
Consumption,30,0.322102308211022,0.493088257475969,0.778669825213455
Consumption,31,0.320784302921921,0.491733603821197,0.784463496902984
Consumption,32,0.322671164750845,0.487788922003206,0.790732730901489
Consumption,33,0.315060601427175,0.485533917520839,0.788172275919413
Consumption,34,0.302693861268396,0.485586505426195,0.789360029561558
Consumption,35,0.295164825897006,0.4828347144199,0.789820512593186
Consumption,36,0.288146019154669,0.485070817874459,0.796521171685737
Consumption,37,0.284640754852499,0.477384785761156,0.799243341752054
Consumption,38,0.277196888696094,0.47281640523676,0.802264244022251
Consumption,39,0.268843035657957,0.469082445409719,0.803370377933377
Consumption,40,0.267081843192267,0.461994429892763,0.806985626533504
Hours,1,-0.028116092004948,0.0987396672816047,0.191458190678535
Hours,2,0.00223231913132992,0.196838017549039,0.325686400025322
Hours,3,0.0423818028975667,0.324851692606802,0.480947170166909
Hours,4,0.10085457079973,0.425102036250542,0.620975521257165
Hours,5,0.137659228878467,0.488006388973303,0.729618764734348
Hours,6,0.175006053082377,0.546403860720185,0.805811771854991
Hours,7,0.214564113171891,0.593055122267584,0.857294236887854
